Tahun,Bulan,Harga,Tanggal,Outlier,Harga_Lag_1,Harga_Lag_2,Harga_Lag_3,Moving_Average_3,Moving_Average_6,Perubahan_Harga,Persentase_Perubahan_Harga,Target_Harga_Bulan_Berikutnya,Komoditas_Bawang Merah,Komoditas_Bawang Putih (Bonggol),Komoditas_Beras Medium,Komoditas_Beras Premium,Komoditas_Beras SPHP,Komoditas_Cabai Merah Besar,Komoditas_Cabai Merah Keriting,Komoditas_Cabai Rawit Merah,Komoditas_Daging Ayam Ras,Komoditas_Daging Kerbau Beku (Impor),Komoditas_Daging Kerbau Segar (Lokal),Komoditas_Daging Sapi Murni,Komoditas_Garam konsumsi,Komoditas_Gula Pasir Lokal/Curah,Komoditas_Ikan Bandeng,Komoditas_Ikan Kembung,Komoditas_Ikan Tongkol,Komoditas_Jagung Tk. Peternak,Komoditas_Kedelai Biji Kering,Komoditas_Minyak Goreng Curah,Komoditas_Minyak Goreng Kemasan,Komoditas_Minyak Kita,Komoditas_Telur Ayam Ras,Komoditas_Tepung Terigu Curah,Komoditas_Tepung Terigu Kemasan
2025,11,36829.0,2025-11-01,False,37132.0,37607.0,38386.0,37708.333333333336,39104.666666666664,-303.0,-0.8160077561133254,37823.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025,11,52571.0,2025-11-01,False,49224.0,47270.0,42821.0,46438.333333333336,45510.166666666664,3347.0,6.799528685194215,52147.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025,11,6835.0,2025-11-01,False,6699.0,6656.0,6457.0,6604.0,6403.833333333333,136.0,2.030153754291685,6937.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2025,11,53794.0,2025-11-01,False,56260.0,54876.0,42521.0,51219.0,48720.0,-2466.0,-4.383220760753644,57503.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025,11,10705.0,2025-11-01,False,10696.0,10730.0,10789.0,10738.333333333334,10789.666666666666,9.0,0.08414360508601347,10776.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2025,11,9744.0,2025-11-01,False,9790.0,9793.0,9792.0,9791.666666666666,9793.833333333334,-46.0,-0.4698672114402451,9722.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2025,11,20939.0,2025-11-01,False,20956.0,20922.0,20881.0,20919.666666666668,20872.5,-17.0,-0.08112235159381562,20957.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2025,11,13564.0,2025-11-01,False,13823.0,13945.0,14354.0,14040.666666666666,14030.166666666666,-259.0,-1.8736887795702812,13540.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025,11,39873.0,2025-11-01,False,38892.0,41919.0,51250.0,44020.333333333336,43373.833333333336,981.0,2.5223696390003085,47236.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025,11,17502.0,2025-11-01,False,17510.0,17542.0,17525.0,17525.666666666668,17594.333333333332,-8.0,-0.045688178183894916,17640.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2025,11,12973.0,2025-11-01,False,13025.0,13023.0,13036.0,13028.0,13004.333333333334,-52.0,-0.399232245681382,12924.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2025,11,35051.0,2025-11-01,False,34736.0,34751.0,34562.0,34683.0,34344.333333333336,315.0,0.9068401658222017,35536.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2025,11,135170.0,2025-11-01,False,135134.0,135132.0,135082.0,135116.0,135213.66666666666,36.0,0.026640223777879737,135300.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2025,11,105914.0,2025-11-01,False,105899.0,105687.0,105632.0,105739.33333333333,105823.16666666667,15.0,0.01416443970198019,106764.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025,11,37628.0,2025-11-01,False,38037.0,37569.0,35404.0,37003.333333333336,36041.5,-409.0,-1.0752688172043012,39810.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025,11,12471.0,2025-11-01,False,12526.0,12558.0,12620.0,12568.0,12583.0,-55.0,-0.43908669966469743,12453.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
